timestamp,sensor,value
2015-11-20T00:00:07+00:00,14,923.5
2015-11-20T00:00:07+00:00,15,912.6
2015-11-20T00:00:07+00:00,16,62.349
2015-11-20T00:00:07+00:00,17,3.5
2015-11-20T00:00:07+00:00,18,828.8
2015-11-20T00:00:07+00:00,19,855.8
2015-11-20T00:00:07+00:00,22,25.405
2015-11-20T00:00:07+00:00,23,25.5
2015-11-20T00:00:07+00:00,24,25.6
2015-11-20T00:00:07+00:00,25,30.333
2015-11-20T00:00:07+00:00,20,708.6
2015-11-20T00:00:07+00:00,21,11.3
2015-11-20T00:00:07+00:00,22,25.382
2015-11-20T00:00:07+00:00,23,25.478
2015-11-20T00:00:07+00:00,24,25.6
2015-11-20T00:00:07+00:00,25,30.333
2015-11-20T00:00:07+00:00,1,8.3
2015-11-20T00:00:07+00:00,2,11.3
2015-11-20T00:00:07+00:00,3,9523.0
2015-11-20T00:00:07+00:00,4,708.9
2015-11-20T00:00:07+00:00,5,690.4
2015-11-20T00:00:07+00:00,6,683.4
2015-11-20T00:00:07+00:00,7,719.2
2015-11-20T00:00:07+00:00,8,690.1
2015-11-20T00:00:07+00:00,9,661.3
2015-11-20T00:00:07+00:00,10,827.2
2015-11-20T00:00:07+00:00,11,832.0
2015-11-20T00:00:07+00:00,12,795.7
2015-11-20T00:00:07+00:00,13,817.2
2015-11-20T00:00:07+00:00,14,923.3
2015-11-20T00:00:07+00:00,15,911.6
2015-11-20T00:00:07+00:00,16,63.387
2015-11-20T00:00:07+00:00,17,3.6
2015-11-20T00:00:07+00:00,18,828.0
2015-11-20T00:00:07+00:00,19,855.6
2015-11-20T00:00:07+00:00,22,25.405
2015-11-20T00:00:07+00:00,23,25.5
2015-11-20T00:00:07+00:00,24,25.6
2015-11-20T00:00:07+00:00,25,30.333
2015-11-20T00:00:07+00:00,20,708.3
2015-11-20T00:00:07+00:00,21,11.3
2015-11-20T00:00:07+00:00,22,25.38
2015-11-20T00:00:08+00:00,23,25.476
2015-11-20T00:00:08+00:00,24,25.6
2015-11-20T00:00:08+00:00,25,30.332
2015-11-20T00:00:08+00:00,1,8.3
2015-11-20T00:00:08+00:00,2,11.3
2015-11-20T00:00:08+00:00,3,9523.0
2015-11-20T00:00:08+00:00,4,709.9
2015-11-20T00:00:08+00:00,5,690.7
2015-11-20T00:00:08+00:00,6,682.7
2015-11-20T00:00:08+00:00,7,719.7
2015-11-20T00:00:08+00:00,8,689.6
2015-11-20T00:00:08+00:00,9,661.3
